pid,Academic_performance,Chinese_score,Math_score,Province,P_StopTV,P_Discuss,P_Supervising,P_Check_homework,C_Work_hard,C_Check_homwork,C_Self_discipline,C_Focus,Extra_tutorial_fee,Household_income_total,F_Edu_level,M_Edu_level,Household_type_Urban,Gender_Male,Edu_level_Junior,Edu_level_Primary,Keyschool_Yes,Keyclass_Yes,C_Attend_extra_tourial_or_not_Yes
441542401,7,4,4,广东省,3,2,4,4,4,4,4,2,1,5,2,3,0,0,0,1,0,0,0
441546108,6,4,3,广东省,3,3,5,3,2,2,2,2,1,5,3,3,1,0,0,1,1,0,0
441546109,3,2,2,广东省,4,4,5,1,4,4,4,4,1,5,3,3,1,1,0,1,0,0,0
441546110,3,2,2,广东省,5,4,5,1,5,4,4,4,1,5,2,3,1,1,0,1,1,0,0
441558401,7,4,4,广东省,4,2,4,4,4,2,4,2,1,5,3,3,0,0,0,1,0,0,0
441558431,2,1,2,广东省,2,3,4,3,4,1,5,4,1,5,3,3,0,0,0,1,0,0,0
441564110,7,4,4,广东省,4,4,5,3,4,2,2,4,1,6,3,3,1,1,0,1,0,0,0
441570108,7,4,4,广东省,1,4,2,3,4,3,4,4,1,5,3,3,0,0,0,1,0,0,0
441585105,5,3,3,广东省,4,2,2,1,4,3,4,4,1,5,2,1,1,0,0,1,0,0,0
441587105,4,2,3,广东省,2,3,3,3,3,2,4,4,1,6,2,2,1,1,0,1,0,0,0
441607105,6,3,4,广东省,4,1,5,5,5,5,5,5,6,5,4,3,1,1,0,1,0,0,1
441607106,7,4,4,广东省,4,1,5,4,4,4,4,4,1,5,4,3,1,1,0,1,0,0,0
441627105,5,3,3,广东省,1,2,2,5,2,4,4,2,6,6,3,2,1,1,0,1,0,0,0
441632104,4,3,2,广东省,5,1,5,2,4,2,4,4,1,4,2,2,0,1,1,0,0,0,0
441645106,5,2,4,广东省,2,2,5,4,2,2,5,3,1,6,3,1,0,1,0,1,1,0,0
441663105,7,4,4,广东省,4,4,4,4,5,5,4,4,1,4,2,1,0,0,0,1,0,0,0
441665105,3,2,2,广东省,5,4,5,5,4,4,4,3,1,5,2,2,0,0,0,1,1,0,0
441665501,7,4,4,广东省,5,4,5,5,4,4,5,4,1,5,2,2,0,0,0,1,1,0,0
441672105,3,2,2,广东省,4,3,4,4,5,3,3,4,1,5,2,1,0,1,0,1,0,0,0
441674401,4,1,4,广东省,5,4,5,5,3,4,5,2,6,6,6,6,1,0,0,1,0,0,1
441678105,4,2,3,广东省,5,2,4,3,4,4,5,4,1,5,2,2,1,1,1,0,1,0,0
441686106,3,2,2,广东省,3,2,2,2,4,4,4,4,1,5,3,3,0,0,1,0,0,1,0
441686109,7,4,4,广东省,5,3,4,5,4,3,4,2,1,5,3,3,0,0,0,1,1,0,0
441686110,3,2,2,广东省,2,2,2,2,2,3,4,4,1,5,3,3,0,0,0,1,1,0,0
441689104,2,1,2,广东省,5,5,5,1,5,4,4,2,1,5,1,1,0,1,0,1,0,0,0
441691105,3,2,2,广东省,5,4,5,1,5,2,5,4,1,5,3,2,0,1,1,0,0,0,0
441691106,3,2,2,广东省,5,4,2,1,5,3,4,4,1,5,3,2,0,0,1,0,0,0,0
441691107,7,4,4,广东省,5,3,2,1,4,4,4,4,1,5,3,2,0,0,0,1,0,0,0
441691108,3,2,2,广东省,5,3,5,1,5,3,4,2,1,5,3,2,0,0,0,1,0,0,0
441691109,3,2,2,广东省,5,3,2,4,2,2,4,2,1,5,3,2,0,1,0,1,0,0,0
441694107,7,4,4,广东省,2,1,5,5,5,5,5,5,1,5,2,2,0,1,1,0,0,1,0
441699105,3,2,2,广东省,4,3,2,1,2,4,2,2,1,6,3,1,0,0,0,1,0,0,0
